,0
0,1029.6332
1,1030.5643
2,928.18896
3,953.3156
4,1051.0417
5,1013.8103
6,1093.862
7,1171.1338
8,1202.7909
9,998.91846
10,994.2649
11,930.9812
12,1083.6218
13,1172.9958
14,1192.5486
15,1135.7543
16,970.9976
17,971.9282
18,973.78986
19,1102.2399
20,1132.0306
21,1258.6617
22,1255.8682
23,958.899
24,928.18896
25,1128.3064
26,1096.6544
27,1243.7616
28,1154.3751
29,1124.583
30,1005.4337
31,885.3843
32,930.0501
33,971.9282
34,987.75006
35,1061.2812
36,945.8703
37,824.90576
38,699.3219
39,790.48254
40,810.0194
41,889.1057
42,970.9976
43,979.37354
44,885.3843
45,769.0868
46,981.23505
47,976.58185
48,1197.2042
49,1122.7207
50,1350.8623
51,1265.1802
52,1114.3424
53,1079.8987
54,1324.783
55,1475.6866
56,1896.041
57,1893.2439
58,1675.1011
59,1634.0941
60,1652.7328
61,1863.407
62,2250.4941
63,2553.8376
64,2623.8647
65,2219.7026
66,2286.8855
67,2501.5566
68,3218.0635
69,4413.019
70,4843.109
71,5369.1655
72,4317.484
73,4519.8115
74,5151.5654
75,6520.2026
76,7999.5522
77,7628.764
78,9434.195
79,8410.985
80,7418.9727
81,9122.227
82,9828.29
83,11778.853
84,13219.418
85,13215.639
86,11434.224
87,10017.842
88,15741.36
89,18123.67
90,19386.139
91,20777.232
92,21030.21
93,16564.84
94,15058.771
95,18637.799
96,23665.598
97,25970.943
98,25917.406
99,26658.166
100,23753.178
101,20856.53
102,24411.195
103,24163.67
104,21771.895
105,23061.736
106,24493.062
107,20989.623
108,20009.568
109,18437.45
110,19128.215
111,22990.113
112,21565.283
113,23214.385
114,17212.432
115,14514.254
116,9923.534
117,14852.681
118,16257.571
119,16458.951
120,14685.356
121,11189.725
122,5776.4155
123,8910.216
124,13444.322
125,14359.227
126,12839.582
127,12083.882
128,9012.918
129,4547.9185
130,8202.893
131,11832.678
132,13328.089
133,12721.486
134,11203.885
135,8827.307
136,4954.662
137,6879.2124
138,12099.9375
139,11633.439
140,10726.323
141,10980.185
142,8464.665
143,4743.76
144,7144.3447
145,12020.606
146,12729.988
147,8920.578
148,5132.8105
149,3849.3928
150,3412.5317
151,7825.433
152,12579.78
153,12997.368
154,10741.421
155,6913.993
156,5781.108
157,4555.4126
158,7552.5557
159,13709.885
160,11728.807
161,8650.207
162,10307.413
163,9234.375
164,4733.45
165,5621.5566
166,8897.967
167,9258.88
168,7713.448
169,7353.1284
170,6077.7827
171,3468.6406
172,4933.0996
173,6889.552
174,7108.6133
175,6627.323
176,6328.5483
177,4790.621
178,2672.4224
179,4716.5815
180,6767.3564
181,7112.374
182,6161.3613
183,5898.4497
184,4812.1777
185,2750.871
186,4456.109
187,6779.5747
188,6492.014
189,6075.904
190,5993.274
191,4832.799
192,2683.6287
193,4177.955
194,6899.893
195,6973.2207
196,6382.0938
197,6576.5796
198,5401.0605
199,2788.232
200,5254.7295
201,8559.785
202,8916.81
203,8637.962
204,8386.501
205,7001.425
206,4047.819
207,6317.2764
208,11815.682
209,11811.901
210,11242.586
211,11772.242
212,9883.927
213,4887.166
214,7847.077
215,15172.218
216,14748.691
217,15296.065
218,14377.186
219,13164.612
220,6185.78
221,9747.198
222,16648.98
223,20225.834
224,18081.137
225,20229.611
226,16648.035
227,10635.737
228,13941.44
229,24004.578
230,26097.736
231,24894.758
232,25277.463
233,20984.902
234,14113.464
235,16158.302
236,28628.717
237,32519.035
238,33439.34
239,30290.703
240,27950.055
241,16370.078
242,20060.568
243,31331.646
244,33539.42
245,29159.877
246,26843.945
247,22020.918
248,9698.168
249,8136.9907
250,14427.286
251,26669.43
252,27232.229
253,23820.04
254,20847.088
255,11690.093
256,12836.748
257,20450.57
258,20306.104
259,17203.924
260,15233.669
261,11822.29
262,7231.802
263,9079.82
264,13497.244
265,12397.463
266,10599.882
267,9323.912
268,7171.616
269,3637.0012
270,5752.9497
271,8749.115
272,8308.346
273,6773.935
274,6466.6465
275,4724.079
276,2771.4197
277,2557.5723
278,4053.4353
279,6430.945
280,6070.2705
281,4867.4805
282,4012.2473
283,2311.1482
284,3306.8748
285,4389.602
286,3898.057
287,3484.5393
288,3118.0508
289,2437.1462
290,1450.5332
291,2033.1292
292,2602.3892
293,2361.544
294,1981.8333
295,1829.8423
296,1418.86
297,938.42523
298,1348.9993
299,1597.7489
300,1563.2701
301,1298.706
302,1139.4781
303,957.03766
304,728.1568
305,965.4134
306,1036.1488
307,950.5235
308,715.1343
309,804.438
310,708.62335
311,598.8797
312,790.48254
313,816.5321
314,773.7379
315,735.59814
316,640.7279
317,629.56836
318,548.6672
319,618.4083
320,642.5879
321,621.1977
322,595.16034
323,574.702
324,542.1584
325,486.37326
326,593.2998
327,571.9132
328,555.1753
329,542.1584
330,511.47495
331,484.51364
332,466.85
333,532.8599
334,515.1941
335,509.61572
336,507.7565
337,517.98364
338,468.70914
339,453.8354
340,507.7565
341,514.2645
342,504.96725
343,489.16226
344,498.45923
345,479.8653
346,459.41275
347,507.7565
348,498.45923
349,516.1245
350,504.96725
351,524.4919
352,482.65457
353,480.79495
354,515.1941
355,533.78955
356,535.6494
357,518.9134
358,531.93024
359,494.74078
360,487.3031
361,517.054
362,546.80725
363,573.7729
364,560.7544
365,560.7544
366,503.10788
367,503.10788
368,570.9825
369,570.9825
370,582.1415
371,578.42206
372,586.7902
373,531.93024
374,478.0063
375,604.4592
376,602.5991
377,625.8483
378,600.7396
379,614.6886
380,556.10547
381,537.5091
382,623.98816
383,611.8982
384,601.6693
385,615.61847
386,624.91797
387,590.5107
388,517.98364
389,635.148
390,636.07764
391,651.8877
392,658.39795
393,688.1602
394,608.1791
395,558.8949
396,683.5099
397,758.85376
398,781.1798
399,743.0395
400,780.24945
401,719.7852
402,588.6508
403,796.06506
404,914.2303
405,892.82825
406,909.5779
407,911.4389
408,861.1919
409,668.6293
410,917.95264
411,1132.0306
412,1090.1381
413,1024.9795
414,1159.9612
415,920.7443
416,756.0628
417,1079.8987
418,1239.1056
419,1324.783
420,1174.8578
421,1271.6986
422,1016.6028
423,810.0194
424,1325.715
425,1566.9973
426,1542.7708
427,1686.2858
428,1669.5088
429,1432.8333
430,1054.7656
431,1651.801
432,2360.6108
433,2287.8188
434,2183.3154
435,2292.4849
436,1840.0977
437,1258.6617
438,2391.4094
439,2878.842
440,3215.2588
441,3001.2366
442,3435.91
443,2769.5513
444,1849.4214
445,4086.201
446,5612.173
447,5643.1406
448,5750.1343
449,6283.4604
450,4832.799
451,3168.5222
452,6275.007
453,8246.203
454,8262.208
455,9212.698
456,9600.114
457,7102.0312
458,4988.413
459,4632.2446
460,10195.161
461,14999.213
462,15366.972
463,14691.973
464,12143.385
465,7262.837
466,13230.757
467,17868.469
468,18363.732
469,12589.226
470,13843.146
471,13984.917
472,9330.511
473,16015.539
474,23238.879
475,23844.518
476,22299.127
477,22461.307
478,18183.213
479,11993.218
480,19178.291
481,27131.896
482,26895.54
483,25587.63
484,25067.793
485,19782.89
486,12730.934
487,18363.732
488,27773.014
489,26170.98
490,25803.738
491,24497.766
492,21494.52
493,12858.478
494,18639.69
495,27283.795
496,26266.752
497,23947.146
498,22791.254
499,18720.959
500,11091.558
501,16838.062
502,23264.318
503,21218.97
504,19264.266
505,18668.982
506,15435.04
507,9421.942
508,13383.842
509,17368.414
510,16550.656
511,14882.932
512,10533.834
513,6262.7964
514,5114.992
515,9642.541
516,15052.153
517,13874.335
518,13190.125
519,11708.033
520,7134.002
521,6422.49
522,11366.252
523,16588.473
524,16002.303
525,11585.285
526,10639.512
527,10833.903
528,7704.0376
529,11117.042
530,15621.29
531,16287.824
532,15502.167
533,16304.846
534,14197.589
535,10210.254
536,18909.95
537,29197.268
538,31295.336
539,34847.586
540,38717.645
541,32460.521
542,27806.74
543,35152.293
544,49964.926
545,53652.445
546,53309.785
547,48446.742
548,45386.926
549,31895.484
550,37103.242
551,52261.062
552,50890.266
553,44745.297
554,43141.33
555,33031.375
556,21108.55
557,30504.283
558,39465.473
559,35718.617
560,30618.96
561,26924.62
562,19269.936
563,11897.837
564,19105.54
565,24589.977
566,25012.312
567,20558.207
568,18105.71
569,12005.496
570,8541.892
571,16132.774
572,17525.336
573,15789.579
574,14508.582
575,12100.882
576,7893.1943
577,5926.6133
578,11250.139
579,12665.748
580,12169.829
581,10821.634
582,11133.09
583,6864.173
584,5121.5576
585,11340.764
586,12477.757
587,11618.332
588,10100.841
589,9760.398
590,6747.6187
591,4865.606
592,10969.804
593,12499.482
594,10679.142
595,10176.298
596,9101.495
597,5184.3887
598,3926.135
599,8836.729
600,9176.886
601,7955.3135
602,7318.3276
603,6001.725
604,3375.1287
