,yhat
0,552.9439325699974
1,558.2328881827091
2,363.68810879501046
3,232.59139875268156
4,494.7250828000157
5,681.0910074809741
6,741.2492810196186
7,693.5671960758141
8,695.7882581667831
9,454.54068786494656
10,290.86975280558084
11,599.497597174238
12,808.3592968411383
13,865.2458159174199
14,797.5658437904154
15,786.5819938333304
16,507.69040127155625
17,320.4964054884345
18,643.7258479505729
19,851.5087867144547
20,896.8422942112727
21,814.9052473443986
22,793.1096951626073
23,505.92980259566093
24,315.92114044210103
25,630.4139391786377
26,830.1749795067176
27,872.0631422817721
28,791.7941851533622
29,772.0741244648007
30,494.0421347445422
31,310.3608002547622
32,625.8093255998615
33,833.1705874108417
34,886.1105579690475
35,816.1336021514333
36,808.3049353134686
37,527.6701403714374
38,339.25221049432247
39,691.873336475328
40,934.9115999165554
41,1011.7434176452115
42,950.3139174165912
43,958.5582492574789
44,643.1632310825208
45,425.9387032647319
46,867.392459123301
47,1181.224177311339
48,1294.597519996425
49,1235.7236677226529
50,1263.1849044778662
51,870.6518792070143
52,593.4003881709928
53,1191.23216563267
54,1622.5414425027848
55,1792.1477847541205
56,1732.9068698171195
57,1789.7357728108668
58,1267.728196801704
59,890.1715233987632
60,1752.0623983082762
61,2382.265708307446
62,2651.886897218781
63,2601.104980201926
64,2717.8014380631175
65,1986.2122929543855
66,1442.8383675650073
67,2777.2497809760366
68,3767.93414504367
69,4228.946514912465
70,4210.250792018516
71,4448.31055019492
72,3356.289069692991
73,2520.6925825022267
74,4713.662346404099
75,6344.991214141981
76,7138.229849872628
77,7166.037941586509
78,7595.560331247778
79,5863.715384746994
80,4503.126484941644
81,8098.210323812279
82,10698.083188299594
83,11922.028942121278
84,11913.401697023291
85,12504.466594494934
86,9716.728010721861
87,7496.846671636333
88,12877.182957278912
89,16531.839071421575
90,18042.8269031605
91,17725.072158495754
92,18221.927864782618
93,14028.769787158226
94,10703.111089713959
95,17590.72831625711
96,21881.109612710778
97,23269.394506562898
98,22336.366648894273
99,22401.220609362543
100,16930.69270804622
101,12665.532148766659
102,20124.388048278794
103,24373.435546464272
104,25320.13006469271
105,23782.724780737437
106,23346.53546765879
107,17298.642932194303
108,12681.824157786177
109,19773.5844988287
110,23547.403537400103
111,24075.424377949606
112,22267.429072987463
113,21554.037918499664
114,15714.863784636778
115,11336.37516357045
116,17590.0248495545
