"index","przypadki","Arima_lag1","Arima_bc","Arima_auto"
1,657,657,653.743924031569,2602.42868451578
2,658,656.598047445167,657.222032313294,951.874443135544
3,548,698.443063335308,632.079872709898,973.082755682128
4,575,718.701856992587,547.557169763661,762.070843175646
5,680,645.833918604105,618.182253411356,866.142984105351
6,640,651.894901134258,683.016298931448,877.105160258215
7,726,681.468036923611,632.710268437775,829.391205452934
8,809,601.334988379815,694.079910085812,958.6948519367
9,843,650.376080796866,724.182460891074,972.575883918837
10,624,759.142850059255,737.38518825338,1029.832150398
11,619,794.171004841309,599.967402535034,759.212730686863
12,551,747.512904136228,694.776890785318,923.75913791049
13,715,778.736442038095,646.491443661191,697.936922243607
14,811,683.284706233212,841.188723271174,1030.1772668576
15,832,572.899876920422,764.979752370444,908.360755603465
16,771,642.824768286225,756.871189660067,1059.73637866395
17,594,767.131730105243,634.489087393925,899.155958130033
18,595,859.065779742633,586.455221129075,818.370864285752
19,597,781.797427590649,629.581820617786,840.829617113781
20,735,699.350040987718,693.606426268857,802.489931764482
21,767,623.482645397584,786.562534162856,977.31354498701
22,903,619.639779569797,754.233135122377,904.760751978205
23,900,661.772569537542,795.199130573429,1138.19996806879
24,581,756.826696037522,736.594570547924,1000.72664583517
25,548,879.81840042083,561.096672986758,763.156840862774
26,763,809.462341784441,648.943777869609,847.707496914891
27,729,728.371689424773,857.399054618378,988.891403125511
28,887,704.055066564564,773.455088186386,866.718915014626
29,791,557.170077889939,862.248455641459,1148.6141528658
30,759,709.445493845214,693.501754549971,863.419694660032
31,631,885.408339015385,717.685119359977,1045.62991942867
32,502,834.147605002437,612.084171489978,752.87654964124
33,550,755.510456886301,610.421651223938,794.182185791999
34,595,679.665255156694,663.393877532134,768.740142663219
35,612,659.632988957852,695.921643571523,821.969197592164
36,691,602.684665194582,620.484109838574,800.708123357678
37,567,564.775924827341,633.529772252728,911.695190177677
38,437,692.53810807952,482.074535792155,704.595397601761
39,302,739.757138070976,444.395899668797,696.159337959799
40,400,680.245237470444,361.447321264412,507.385225621429
41,421,579.775168173489,531.988155039059,709.761513132134
42,506,517.722122956364,455.737642457094,570.125161153962
43,594,459.983642815127,521.437645963212,773.6975539564
44,603,480.413891220527,449.340343740466,738.999361499715
45,502,602.062275721955,467.209390344561,807.318741709152
46,377,656.021429856886,382.541771276338,659.510573585435
47,605,653.744749211582,409.176513166076,617.087576659213
48,600,584.01507255965,641.593725325734,876.868850165963
49,837,601.729681271872,640.055140479108,704.72943755434
50,757,511.479881325428,813.951211123803,1126.55734222472
51,1002,610.269255479737,659.221684067049,777.687470430116
52,910,726.722820592742,869.718697408965,1345.7874372795
53,748,824.793588616776,714.099397828835,874.810864187903
54,711,858.838208821468,760.788866977741,1066.14176629432
55,974,813.073755146543,762.253682940114,851.592762784041
56,1136,808.37969518773,1130.22570008532,1294.30111835679
57,1587,755.934020904142,1061.6942119265,1189.92753191959
58,1584,635.255624225041,1397.29580299219,1853.82728989694
59,1350,891.758088880581,1114.64330793018,1486.2009939606
60,1306,1234.66093401052,1176.18836937387,1579.80817879791
61,1326,1266.71790606591,1177.84224522968,1452.88550949082
62,1552,1240.44577298445,1513.46187841411,1559.68603646768
63,1967,1080.61586523576,1664.82554484087,1735.63088747092
64,2292,945.773283734262,2097.6231029578,2129.90664788891
65,2367,1100.03367202401,1974.99125338193,2328.94581802502
