"Data","Nowe.przypadki","Zgony"
2020-03-03,0,0
2020-03-04,1,0
2020-03-05,0,0
2020-03-06,4,0
2020-03-07,1,0
2020-03-08,5,0
2020-03-09,6,0
2020-03-10,5,0
2020-03-11,9,0
2020-03-12,20,1
2020-03-13,17,1
2020-03-14,35,1
2020-03-15,21,0
2020-03-16,52,1
2020-03-17,61,1
2020-03-18,48,0
2020-03-19,68,0
2020-03-20,70,0
2020-03-21,111,0
2020-03-22,99,2
2020-03-23,115,1
2020-03-24,152,2
2020-03-25,151,3
2020-03-26,170,3
2020-03-27,168,0
2020-03-28,249,2
2020-03-29,224,4
2020-03-30,193,9
2020-03-31,256,2
2020-04-01,243,10
2020-04-02,392,14
2020-04-03,437,14
2020-04-04,244,8
2020-04-05,475,15
2020-04-06,311,9
2020-04-07,435,26
2020-04-08,356,29
2020-04-09,370,16
2020-04-10,380,7
2020-04-11,401,27
2020-04-12,318,23
2020-04-13,260,13
2020-04-14,269,18
2020-04-15,380,22
2020-04-16,336,28
2020-04-17,461,18
2020-04-18,363,15
2020-04-19,545,13
2020-04-20,306,20
2020-04-21,263,20
2020-04-22,313,25
2020-04-23,342,28
2020-04-24,381,40
2020-04-25,381,30
2020-04-26,344,12
2020-04-27,285,27
2020-04-28,316,34
2020-04-29,422,28
2020-04-30,237,20
2020-05-01,228,7
2020-05-02,270,12
2020-05-03,318,15
2020-05-04,313,19
2020-05-05,425,19
2020-05-06,309,18
2020-05-07,307,22
2020-05-08,319,20
2020-05-09,285,9
2020-05-10,345,15
2020-05-11,330,11
2020-05-12,595,28
2020-05-13,283,23
2020-05-14,411,22
2020-05-15,401,24
2020-05-16,241,8
2020-05-17,272,10
2020-05-18,356,11
2020-05-19,383,12
2020-05-20,471,14
2020-05-21,404,10
2020-05-22,476,10
2020-05-23,312,11
2020-05-24,395,3
2020-05-25,305,11
2020-05-26,443,17
2020-05-27,399,4
2020-05-28,352,10
2020-05-29,330,13
2020-05-30,416,10
2020-05-31,215,3
2020-06-01,379,10
2020-06-02,230,18
2020-06-03,292,23
2020-06-04,361,2
2020-06-05,362,20
2020-06-06,576,14
2020-06-07,575,4
2020-06-08,599,9
2020-06-09,400,19
2020-06-10,282,23
2020-06-11,359,9
2020-06-12,376,7
2020-06-13,440,15
2020-06-14,375,10
2020-06-15,396,9
2020-06-16,407,16
2020-06-17,506,14
2020-06-18,314,30
2020-06-19,301,18
2020-06-20,304,12
2020-06-21,311,10
2020-06-22,296,3
2020-06-23,300,16
2020-06-24,294,21
2020-06-25,298,16
2020-06-26,276,17
2020-06-27,319,6
2020-06-28,193,4
2020-06-29,247,6
2020-06-30,239,19
2020-07-01,382,14
2020-07-02,371,15
2020-07-03,259,14
2020-07-04,314,5
2020-07-05,231,5
2020-07-06,205,4
2020-07-07,257,7
2020-07-08,277,15
2020-07-09,262,9
2020-07-10,265,11
2020-07-11,305,6
2020-07-12,370,3
2020-07-13,299,5
2020-07-14,267,12
2020-07-15,264,6
2020-07-16,333,10
2020-07-17,353,7
2020-07-18,339,6
2020-07-19,358,6
2020-07-20,279,4
2020-07-21,399,9
2020-07-22,380,6
2020-07-23,418,9
2020-07-24,458,4
2020-07-25,584,9
2020-07-26,443,7
2020-07-27,337,5
2020-07-28,502,6
2020-07-29,512,12
2020-07-30,615,15
2020-07-31,657,7
2020-08-01,658,5
2020-08-02,548,10
2020-08-03,575,1
2020-08-04,680,6
2020-08-05,640,18
2020-08-06,726,18
2020-08-07,809,13
2020-08-08,843,13
2020-08-09,624,7
2020-08-10,619,2
2020-08-11,551,12
2020-08-12,715,9
2020-08-13,811,13
2020-08-14,832,15
2020-08-15,771,11
2020-08-16,594,8
2020-08-17,595,8
2020-08-18,597,11
2020-08-19,735,17
2020-08-20,767,12
2020-08-21,903,13
2020-08-22,900,13
2020-08-23,581,4
2020-08-24,548,5
2020-08-25,763,17
2020-08-26,729,17
2020-08-27,887,15
2020-08-28,791,9
2020-08-29,759,14
2020-08-30,631,1
2020-08-31,502,6
2020-09-01,550,19
2020-09-02,595,20
2020-09-03,612,14
2020-09-04,691,8
2020-09-05,567,13
2020-09-06,437,7
2020-09-07,302,3
2020-09-08,400,12
2020-09-09,421,11
2020-09-10,506,12
2020-09-11,594,10
2020-09-12,603,13
2020-09-13,502,6
2020-09-14,377,15
2020-09-15,605,24
2020-09-16,600,10
2020-09-17,837,16
2020-09-18,757,17
2020-09-19,1002,12
2020-09-20,910,11
2020-09-21,748,5
2020-09-22,711,18
2020-09-23,974,28
2020-09-24,1136,25
2020-09-25,1587,23
2020-09-26,1584,32
2020-09-27,1350,8
2020-09-28,1306,15
2020-09-29,1326,36
2020-09-30,1552,30
2020-10-01,1967,30
2020-10-02,2292,27
2020-10-03,2367,34
2020-10-04,1934,26
2020-10-05,2006,29
2020-10-06,2236,58
2020-10-07,3003,75
2020-10-08,4280,76
2020-10-09,4739,52
2020-10-10,5300,53
2020-10-11,4178,32
2020-10-12,4394,35
2020-10-13,5068,63
2020-10-14,6526,116
2020-10-15,8099,91
2020-10-16,7705,132
2020-10-17,9622,84
2020-10-18,8536,49
2020-10-19,7482,41
2020-10-20,9291,107
2020-10-21,10040,130
2020-10-22,12107,168
2020-10-23,13632,153
2020-10-24,13628,179
2020-10-25,11742,87
2020-10-26,10241,45
2020-10-27,16300,132
2020-10-28,18820,236
2020-10-29,20156,301
2020-10-30,21629,202
2020-10-31,21897,280
2020-11-01,17171,152
2020-11-02,15578,92
2020-11-03,19364,227
2020-11-04,24692,373
2020-11-05,27143,367
2020-11-06,27086,445
2020-11-07,27875,349
2020-11-08,24785,236
2020-11-09,21713,173
2020-11-10,25484,330
2020-11-11,25221,430
2020-11-12,22683,275
2020-11-13,24051,419
2020-11-14,25571,548
2020-11-15,21854,303
2020-11-16,20816,143
2020-11-17,19152,357
